text,sentiment
mr speaker  i rise in opposition to the proposed changes in the ethics rules   i served for 8 years on the committee on standards of official conduct  and it is not an enviable assignment   but members who have never served on the committee would be proud of how these tasks are approached   it is a committee that is evenly split   in the 8 years i served  we had unanimous votes   the members who serve think about the institution   they are there to serve the american people and the ins,0
mr speaker  i thank the gentlewoman for yielding me this time   mr speaker  the first day of a new congress should be a day for hope   it should be a day when all of us look forward with optimism to the work ahead   but today is not that kind of day   instead  the leadership of this house is beginning the new year in the worst possible way  by gutting the ethical standards of the united states house of representatives   talk about starting off on the wrong foot   in the rules package,0
mr speaker  i am transmitting a status report on the current levels of onbudget spending and revenues for fiscal year 2005 and for the 5year period of fiscal years 2005 through 2009   this report is necessary to facilitate the application of sections 302 and 311 of the congressional budget act and section 401 of the conference report on the concurrent resolution on the budget for fiscal year 2005  s con   res 95  which is currently in effect as a concurrent resolution on the budget in ,1
mr speaker  i rise in opposition to h res 5  to the republican rules package   specifically  i oppose the proposed changes to rule x  which among other things creates a permanent standing committee on homeland security and grants legislative jurisdiction to that committee   i am not opposed to the creation of a permanent homeland security committee   indeed  i believe that the homeland security committee should be made permanent and should be granted jurisdiction over the overall home,0
mr speaker  i rise in opposition to what i consider a shameless rules package which will undermine the ethical standards held by this house   after the elections in november  the first thing the republican majority did was to lower the house s ethical standard   in an act of unprecedented shamelessness  they changed the rule of their party to permit an indicted member of their party to remain in a leadership position   yesterday  in the face of an overwhelming bipartisan and public cond,0
mr speaker  i yield myself such time as i may consume   mr speaker  all over washington and in the country  people are talking today about the majority s lastminute decision to abandon rules changes that would have eviscerated longstanding ethical guidelines in this house  and  with that  the integrity of the institution   and while in the end the majority was right to withdraw these provisions  they hardly deserve our congratulations   the republicans simply succumbed to tough cri,0
mr speaker  after the vote on the previous question  i will call for a yes vote on the motion to commit   my motion to commit will prohibit sitting members of congress from negotiating for future employment with any person who has a direct interest in the legislation referred to any committee on which that member serves   it also includes a rules change that would require a twothirds vote in the house to waive the requirement in our standing rules that members must have 3 days to read the ,0
mr speaker  i urge a no vote on the previous question   i call on all members of this house  particularly the freshmen casting their first vote  please vote for ethics today   do not vote against the constitution   vote for this house that you will love and revere as all of us do on both sides of the aisle   please vote no on the previous question and vote yes on the motion to recommit   mr speaker  i yield back the balance of my time   1630 ,0
mr speaker  on that i demand the yeas and nays   ,0
mr speaker  i offer a motion   ,0
mr speaker  on that i demand the yeas and nays   ,0
mr speaker  on that i demand the yeas and nays   ,0
mr speaker  during rollcall vote no   3 on consideration of h res 5  i was unavoidably detained   had i been present  i would have voted `` nay   ,0
mr speaker  i thank the gentleman from california  mr dreier   for yielding me time   mr speaker  my question to the gentleman concerns the change to the rules that would allow members to use campaign funds to purchase cell phones   as you know  there is a law that prohibits a member of congress from using the resources of their office or their office to solicit campaign funds   it is my hope that allowing campaign cell phones to be used in a congressional office is not in any way a b,0
just for a clarification  the use of a campaign cell phone in this building   ,0
to solicit campaign funds with a campaign cell phone   ,0
mr speaker  i thank the gentleman   ,0
mr speaker  on rollcall no   5 i was inadvertently detained   had i been present  i would have voted `` nay   ,1
mr speaker  on rollcall no   12 i was in the chamber seeking recognition but the vote was closed   had i been able to vote  i would have voted `` no   ,1
mr chairman  if the gentleman will yield further  i do not mean to reiterate or repeat too much   looking at the history of these congressional gold medals  though  i think is very telling in terms of what we are doing because the history has always been to individuals for outstanding achievement   so in terms of the groups  i really think we should honor that   that is not disrespectful of any group that has gotten it or all the other groups who are potentially eligible out there if yo,1
mr chairman  i made a couple of these points before  and again i will not repeat too much here  but first and foremost is the 290 signatures   i do not know if one party is ever going to have 290 members or not  i sort of doubt it  at least in the time most of us are around here  and you need both parties in order do this   i learned with the coin that i did  which was benjamin franklin   i can not tell you  and hardly anyone can tell you  whether benjamin franklin was or would have,1
mr chairman  i yield myself such time as i may consume   in listening to the sponsor in terms of the need for this legislation  one could intimate by the introduction that possibly medals were given out in a haphazard manner   i mentioned before it takes twothirds of the members of the house  the entire body  to introduce a gold medal for its consideration in the committee on financial services  a bar that i believe is a very  very high bar and one that is not easily attained   i woul,0
mr chairman  would it be safe to say under regular order if this legislation were passed that the code talkers  under regular order  and that was an extraordinary provision made in the appropriations process  under regular order would they be eligible to receive this medal in the future if this bill were to pass   ,0
mr chairman  if the gentleman will continue to yield  that is the point i am trying to make   to say that the code talkers  and i am not saying the gentleman is suggesting this  but to suggest that they did not deserve the ultimate award  even as a group  for what they provided to the service of this country during world war ii is just ridiculous   they certainly deserved as a group   any one individual  no   there were multiple individuals who provided an incredible service to us  ,0
mr chairman  i want to recognize the significance of this medal  that it is not given out willynilly  that  as i mentioned before  it takes extraordinary measures to get enough support to get this medal passed   i recognize that the first person who received this medal was general george washington  prior to him becoming president of the united states  when the country was brand new  when we did not have the richness of diversity and of events that have taken place throughout the hist,0
if the gentleman will yield further  let me just make a point   i appreciate what the gentleman from delaware has said   the reality is  though  a country of 300 million people  only 20 medals have been awarded in the past decade   that is not an awful lot of medals   the point that the gentleman is making is that it has been extraordinary when we have actually issued this medal to groups   why are we now limiting ourselves  when it is extraordinary  recognized as extraordinary  why ,0
mr chairman  i demand a recorded vote  and pending that  i make the point of order that a quorum is not present   ,0
mr chairman  i appreciate the gentleman s comments   i know that the gentleman does not approach this in any other fashion but a bipartisan fashion   but the question i have is if we are going to limit this to two per year  it could be that five members on our side of the aisle have five individuals they want to recognize   there could be five individuals on the republican side of the aisle who have five individuals they want to recognize   that is 10 people  10 bills  10 instances whe,0
mr chairman  if the gentleman will yield further  the rules will have changed once we pass this bill  whereas right now it is unlimited   granted  where it is unlimited  there has not been this rush to introduce bills   as the gentleman mentioned before  this is not done in a very quick fashion   this is done in a bipartisan way   but when we limit it to two per year  we are putting a cap on it  i think we can in the future find ourselves in a situation where  all right maybe five ,0
mr chairman  i yield myself such time as i may consume   unfortunately  i think that in the past there may have been some politics involved   i understand that one of my colleagues on this side had achieved the requisite number of signatures for a commemorative gold medal for the columbia 107 in the last congress  in the middle of the last congress  and that was never awarded   so i do not know why   i do not know if there was any reason for that  when the requisite number of signature,0
mr chairman  i demand a recorded vote  and pending that  i make the point of order that a quorum is not present   ,0
yes  i am opposed to the bill in its current form   ,0
mr speaker  today we begin the 109th congress in earnest  and we do so by considering a bill that we do not need to act on for a problem that  in our view and in the view of many of my colleagues  simply does not exist   we considered this bill today not in the spirit of openness and bipartisanship that should categorize the democratic debate in the house  but with a restrictive rule that did not allow us to have a debate on a key issue  whether one of the highest honors that can be best,0
mr speaker  on that i demand the yeas and nays   ,0
mr speaker  i demand a recorded vote   ,0
if the gentleman would yield  i appreciate my good friend s good suggestion  and i am prepared to begin yielding time to colleagues who are present to begin speaking   ,0
mr chairman  i yield myself such time as i may consume   mr chairman  let me close by first indicating to the gentleman from new york  mr crowley   that the gentleman from delaware  mr castle   as well as myself acknowledge that the folks who received the medal in the past were most deserving   i would point out  in fact  that the medal that was awarded  for example  to ronald and nancy reagan  was one medal  and the same thing with dr   king and coretta scott king  and betty,1
if the bill were passed  the answer is no  they would not   ,1
mr chairman  let me point out in the case of the navajo code talkers  there were other tribes also that had code talkers  not just the navajo   again  the issue is where do we start and where do we finish in this area   again  going back to the history of the medal  and the first recipient was george washington  it was to an individual and was to an individual for a very  very long period of time   the gentleman from delaware  mr castle   pointed out correctly  historically the g,1
reclaiming my time  and the gentleman may want to respond   let me just comment   there is an avenue  i would suggest to my friend from new york  to honor large groups   that would be the commemorative coin   it is somewhat ironic that after the reforms that were made by the gentleman from delaware where we tightened the restrictions on commemorative coins  and for good reason  that we then had this increase in the gold medal   i think we can safely say that the gold medal traditionall,1
let me  in closing  mr chairman  indicate  first of all  my respect for the members who have undertaken the responsibility of going out and getting 290 signatures   virtually everyone i have talked to said  never again  because of the difficulty   i said  well  think of it this way   you get a chance to meet a lot of new friends   every time you walk over or ride over for a vote  every time you see a member in the dining room  wherever it may be  you are getting their support  ,1
mr speaker  i rise in opposition to the motion to recommit   ,1
mr chairman  on rollcall no   10 i was unavoidably detained   had i been present  i would have voted `` no   ,1
mr speaker  by direction of the committee on rules  i call up house resolution 42 and ask for its immediate consideration   ,1
mr speaker  i ask unanimous consent that section 2 of the resolution be stricken   ,1
mr speaker  i yield myself such time as i may consume   i appreciate the comments from the gentleman from florida  my good friend from the committee on rules  and would like to ask him at this time if he would like to consume the time   at this time  i may have one additional speaker  but do not at this time and would wish that the gentleman would consume his time   then i would expect to close   i would like to ask the gentleman if he would like to do that   ,1
mr chairman  on rollcall no   11  crowley no   3  had i been present  i would have voted `` aye   ,0
mr speaker  i rise in support of h con   res 36   once again  activist judges threaten our authority  first of all  to direct federal fund spending  and  second of all  they attempt to create law   we have required here in congress at universities that receive federal dollars to extend access to military recruiters equal to other outside groups   but in the name of free speech and association  some schools seek to deny their students access to recruiters and rotc  obviously afrai,1
mr speaker  let me thank my colleague for yielding me this time   mr speaker  today i rise in strong support of this resolution  which shows our nation s unwavering commitment to both higher education and providing a strong national defense   at no time in recent memory has our country placed more responsibility on the shoulders of our men and women in uniform   we are fighting a war on terrorism on multiple fronts  in afghanistan and iraq   and it is essential that if we are to be vi,1
mr speaker  i rise in full support of this resolution and urge my colleagues to support its passage   asking the administration to appeal the third circuit is the right thing to do   what is happening on some college campuses is deja vu for those of us who attended colleges in the 1960s and the 1970s   back then too many college administrators lacked the courage to resist pressure from then what were called leftwing student groups and other professors to ban military recruiters from their ,1
mr speaker  by direction of the committee on rules  i call up house resolution 59 and ask for its immediate consideration   ,1
mr speaker  i reserve the balance of my time   ,1
mr speaker  i reserve the balance of my time   ,1
mr speaker  issues like this one  first brought to our attention with a passion and eloquence only possible in a man like jerry solomon  provide our democracy a valuable service  they cut through the fog of spin and force us to tell the american people exactly where we stand   pure and simple  this bills says our armed services  the army  navy  air force  marines  coast guard  and national guard  should have the same right to recruit at colleges and universities who receive fed,1
mr speaker  i rise in opposition to this resolution   it may seem peculiar  but  frankly  i think that the military does not need this resolution   it is not broken out there   they are having the ability to recruit   even despite the negative news from iraq  the recruitment numbers are up for all the services   what this resolution does is sort of breaks this feeling in america that democracy allows divergence of opinion and that the people that own the real estate should have a voic,0
mr speaker  i come to the floor today in strong opposition to h con   res 36   it is a standard practice for institutions of higher learning to include a nondiscrimination policy as part of their mission   these policies affirm that they do not tolerate discrimination on any number of issues  race  sex  religion  age  disability  social class  and sexual orientation   these nondiscrimination policies were created so that all people in our country have the opportunity to be an eq,0
mr speaker  i am wondering  based on that argument  in the interest of efficiency  whether we might not substitute chat rooms for the floor of the house  and if being on the web site is a satisfactory way to bring a bill out   maybe if we had chat rooms or instant messaging  we could probably save a lot more   i would urge the majority  since this traditional kind of oldfashioned type of democracy does not seem to have much appeal  to go right ahead  might even save a little more mo,0
to begin  mr speaker  it is absolutely backwards to decry this policy of excluding recruiters from using the facilities of a university   let us be clear  no university can ban a recruiter from coming to that city or that town   no university can say that students will not talk to the recruiter   the question is not whether the recruiters can come and advertise  it is whether they can compel the university to offer its facilities involving a policy with which they disagree   but to say ,0
mr speaker  i thank the gentleman for yielding me this time and for the distinguished way in which he has conducted the debate and also the gentleman from alabama  mr rogers   for sponsoring this resolution   mr speaker  let us make this clear   this is not about some social issue   the real impetus for this barring of the american military from our college campuses is because of the leftwing core of administrators and professors who do not like this country   and we could substitute,1
mr speaker  i rise in support of our armed forces and in support of this nation s continued efforts to give it the additional strength and stability it needs to keep our men and women safe   the members of this house have joined their constituents in mourning the loss of life and injuries sustained in the course of america s war and subsequent occupation of iraq for two years   since the beginning of the iraq war in march 2003  1  423 members of the us military have died  which includ,0
mr speaker  i yield myself such time as i may consume   in closing  i would just say that we have heard some discussion today about policies of the united states armed forces for a long time   since its inception  there have been special policies applied to our military  the ability to impose nonjudicial punishment  the ability to restrict entry by those who are too tall or too short  the ability to order its members away from home and into combat and into harm s way   but the discuss,1
mr speaker  on that i demand the yeas and nays   ,1
mr speaker  i want to thank the gentleman from oklahoma  mr cole   for yielding me the customary 30 minutes   i also want to welcome him as a new member of the committee on rules   ,0
mr speaker  i thank the gentleman from massachusetts for his succinct observation   ,0
mr speaker  i insert in the record at this point two articles   one is an editorial from the new york times entitled  `` the price of homophobia  another is an associate press story entitled  `` report  number of gay linguists discharged higher than thought  the price of homophobia do nt ask  do nt tell  just scream in frustration  it turns out that 20 of the arabic speakers so vitally needed by the nation have been thrown out of the military since 1998 because they were found ,0
mr speaker  i yield myself such time as i may consume in closing   this congress should be leading the way to end discrimination of any form in this country   unfortunately  we have a resolution before us today that condones discrimination   i think it is sad we are dealing with this today   i urge my colleagues to vote `` no  on the resolution   ,0
mr speaker  i reserve the balance of my time   ,1
mr speaker  i yield myself such time as i may consume   mr speaker  i do not accept the suggestion that the academic community is unamerican and not in support of our military   my friends in the academic community  and i have many in north carolina who are part of the academic community  they are good americans and they support our military completely   i sincerely believe that these individuals have a genuine difference of legal opinion that must be resolved by our supreme court  an,1
mr chairman  i rise in strong opposition of this bill   it does nothing to make america safer   it is simply antiimmigrant legislation placed under the mask of homeland security   the bill will prevent states from giving licenses to undocumented immigrants   it will not prevent terrorists from obtaining identification forms   all of the 911 hijackers were in this country legally   in fact  allowing immigrants to have licenses actually improves homeland security by allowing our governm,0
mr chairman  on rollcall no   28 i was unavoidably detained   had i been present  i would have voted `` no   ,1
mr speaker  i thank very much my friend from florida for yielding me this time   mr speaker  my opposition to hr 418 is for two reasons  one that is broader in the context of the problems we face  and one is specific to asylum   i am just going to address the former on the issue of debating essentially an unobjectionable rule that simply allows for general debate and urge opposition on that ground alone   the placement of the bill on this agenda at this particular time is a manifestat,0
mr speaker  what i would have asked the gentleman from georgia  mr gingrey    had he been willing to yield some time  was to show me where in the 911 report it makes any reference to making any of the changes in the asylum law that are being proposed by the majority here in this bill   there is no reference to that whatsoever  because the 911 commission knew that terrorists and threats to national security can not get asylum   instead  the majority  because it does not agree with t,0
mr chairman  i rise today in strong support of hr 418  the real id act   as a member of the congressional immigration reform caucus  i join with my colleagues to raise attention to the serious flaws in our immigration system which leave our nation exposed to potential threats   the 911 commission made several recommendations which were not enacted as part of the national intelligence reform act of 2004  public law 108458   including provisions to strengthen identification document s,1
mr chairman  our committee chairman is exactly right  we can go to page 384 in the 911 commission report   and i encourage all of my constituents to do this  look at this  `` for terrorists  travel documents are as important as weapons  and what is the number one travel document   it is a driver s license   it is a huge gaping hole that we have   that is why it is imperative that we pass the real id act today and we set a national standard   maybe that is just too much common sen,1
mr chairman  i appreciate the gentlewoman s courtesy in permitting me to speak on this  and i agree with her very strongly   make no mistake  our side of the aisle is supportive of this legislation   we want to work with the state and local authorities first to do it right   these are the people who feel these concerns every bit as strongly as members of congress   in fact  they are on the line every day providing for the safety and security of our constituents in a much more immediate,0
mr chairman  i yield to nobody my concern that this bill has regarding the environment  but that is not the point   we have already had our colleague  the gentleman from california  mr duncan    talk about how we passed specific legislation signed by president clinton that suspended the endangered species act   what we are talking about here is far beyond this   it is talking about suspending all laws  health  safety  immigration  payment for private property   all laws  not the,0
mr chairman  today s bill would not be nearly as flawed or controversial if it had the benefit of going through the committee process   unfortunately  we are faced with costly legislation that overturns states rights and does little to address the problems of our immigration system or to protect americans from another terrorist attack   instead  this bill places enormous regulatory and financial burdens on state governments and makes department of motor vehicles  dmv  employees de facto,0
mr speaker  i thank the gentleman for yielding the time   mr speaker  i am here to support the rule and encourage this body to move forward with legislation that we have already debated many times in the last congress and legislation that really solves a problem   i do suggest that using terms like `` immigrant hater  does not help this debate   this is about border security   it is not about those of us who reach out to help immigrants  particularly those immigrants who are here lega,1
mr speaker  i thank the gentleman for yielding me this time  and i rise  of course  in support of this supplemental   i also want to rise to really express my appreciation to the gentleman from california  chairman lewis  and the tremendous job he has done in limiting the scope of this supplemental and getting this work done in a quick way  and moving forward on the rest of our appropriations process at the same time   these measures can often become reasons not to move forward with th,1
mr chairman  today i rise to express my concern over a provision in hr 418  the real id act of 2005   section 102 of this act states that the secretary of homeland security shall have the authority to waive  and shall waive  all laws necessary to ensure expeditious construction of barriers and roads in the vicinity of the us border in areas of high illegal entry   the provision also bars judicial review of any claim arising from the construction of barriers and roads at borders   i u,1
mr chairman  i would like to thank chairman sensenbrenner for his tireless efforts and leadership in getting the real id act to the floor and for championing national security issues and the crisis we face today with our nation s border security   i would also like to thank my colleagues in the southern california delegation for their efforts and for helping to protect not only their districts  but also the nation s borders as well   san diego border fence  for too long our nation has be,1
mr chairman  i move to strike the last word   ,1
i had a very good discussion with the gentleman from california  mr lewis     i did not come here to the floor to strike these provisions from the bill   i will work with the administration   i will work with the committee on appropriations   i am going to do that as an authorizer   i am not claiming jurisdictional grounds   i am not going to play games with the gentleman from wisconsin  mr obey   at all   ,1
i thought what the gentleman from wisconsin  mr obey   did by making a performance of duty was a wise thing   i think that was a wise move of the gentleman   i do not know why the gentleman would be upset with regard to my remarks on performance of duty because what the gentleman from wisconsin  mr obey   did is followed what we  the gentleman from illinois  mr evans   and i  had also recommended   performance of duty is a good thing   ,1
i do not have a problem with the performance of duty   i have come to the floor to express some concerns with regard to the identification of an insurance product   we are turning it into an indemnity and a gratuity with regard to an insurance product   we have to be smart about our business with regard to how we proceed   that is my purpose of being here   it is not to reach into the treasury and just say we are going to give this money out   ,1
but it does and i gave the example because you can have someone who has an accidental death or a duty nonperformance in the service   ,1
i will be more than happy to get the gentleman legal counsel so he can understand what he has written   ,1
i thank the gentleman   what the gentleman from wisconsin  mr obey   did with regard to performance   ,1
i believe that the performance of duty that is in the bill  what it does  it does identify with regard to who will receive payment and who do not receive payments   that was why i used the word `` limited  or `` restricted  because you could have an individual  mr chairman  of whom died in an auto accident  was murdered  or something happened to them and they do not qualify   ,1
absolutely   that is why what we have here are two individuals of whom understand what we are talking about but probably have a  well  anyway  let us not use semantics   what i do wish to do as we proceed forward as we go to conference working with the senate is work also with the administration  work with the department of defense  the va and omb to make sure that we bring a proper identity with regard to service and group life insurance that also subsidizes veterans group life insurance,1
mr speaker  i rise today in support of the rule on hr 418   our nation s immigration policy has been of top concern in recent years  and for good reason   with between eight and twelve million illegal aliens in the united states  it is obviously a problem out of control   we need to increase border security and fix our immigration laws   we need a system that will encourage wellintentioned  contributing aliens out of the shadows and allow them to pay a reasonable penalty so they can,1
mr chairman  i would like to submit a statement for the record from the americans for tax reform   february 9  2005   our nation s immigration and border control policies cry out for reform   while our best border control officers should be preventing the next terrorist incursion into our country  they are instead hunting down willing workers   the attacks of september 11th called for new and updated thinking in all areas of federal law enforcement  and immigration reform has been a gl,1
mr chairman  i congratulate the chairman and the committee on government reform for reporting out this bill that is so important that this congress take action on and take action on now   of course we need to do this   of course we need to pass the real id act   because as the chairman just said  certainly all of us who board planes want to know that there is some integrity to our id system in this country and that terrorists are not boarding planes by the use of a stateissued identificat,1
mr speaker  i rise today to voice my strong support for hr 1268  the emergency supplemental appropriations act for defense  the global war on terror  and tsunami relief   this essential legislation will support and defend america s values both at home and abroad   our troops serving in iraq will have the necessary tools to continue their rebuilding efforts in iraq and to continue the war on terror   at home  the real id provisions will strengthen our nation s driver s license laws ,1
mr chairman  i move to strike the last word   ,0
mr speaker  i rise in support of hr 1268  to authorize emergency supplemental appropriations for our military   the vast majority of this  82 billion bill will go directly to support our troops in iraq and afghanistan   congress has a responsibility to work with the president to protect the national security of our nation   when our soldiers are sent in to war  it is the congress  responsibility to make sure that all resources necessary are provided to carry out their missions   i st,0
mr chairman  i yield myself 1 minute  because i think the gentlewoman from texas has made some very valid points that need to be discussed   one thing that is important and what we have done here is to understand that there has to be a conviction in this situation by a court of law before it can be entered into a database of the transportation security administration   that is very important   it gives all the protection of what could happen there   we thought a lot about that because it ,1
mr chairman  i thank the gentlewoman for her good questions and for yielding   we are not sure at this point whether they include that information or not at tsa  because simply they have databases and we do not know necessarily what is in their databases  and i do not blame them at all   they are not prone to reveal all of that   it is our judgment they should be doing this   we hope that they would be doing it   we do not know if they are for sure or not   i can not confirm or deny th,1
yes   ,1
mr chairman  if the gentlewoman would yield further  no  i would not have objected to having hearings   it is relatively simple   i do not mean to suggest it needs panels of hearings  but i never object to having a hearing   mr chairman  i believe the gentlewoman from texas  ms jacksonlee   has the right to close   ,1
mr chairman  i rise in strong support of the real id act  and i want to thank the distinguished chairman of the committee on the judiciary  the gentleman from wisconsin  mr sensenbrenner    for his efforts in this matter   it is very important   this bill is about common sense   it is about protecting our borders and making our country safer   the 911 commission report revealed many disconcerting facts  none more unnerving than the fact that all but one of the 911 hijackers who we,1
mr speaker  i thank the gentlewoman from texas for yielding me this time   i would like to join in the point that is being made by the gentlewoman from texas to remind all of our friends that when republicans took power in 1994  they made a solemn promise to the states that they would make sure that there would be no imposition of unfunded mandates on those states  and today we have a chance to redeem that promise by voting `` no  on consideration of this rule  which waives the unfunded ,0
mr chairman  i yield myself such time as i may consume   mr chairman  i rise  regrettably in opposition to this antiimmigrant legislation   mr chairman  if we truly believe in all we have heard about the importance of freedom and liberty from our president and others  then we have no other choice but to vote down this bill which denies so much freedom and liberty to the immigrants in our own country   hr 418 includes provision after provision limiting the rights of refugees  impos,0
mr chairman  i need my friend to know that they are in the process of having the claim heard   it has not been terminated or it is not all over   but we are arguing the substance   what i was trying to figure out is  what inspired the gentleman at this late point in the proceedings  since we had hearings last year  we had no hearings this year  and we just found out about this yesterday   ,0
mr chairman  what i would like to find out  if the gentleman knows  has this ever occurred in the history of federal legislation before that for a given instance all laws  local  state  national  will be waived all at one time for one specific purpose   ,0
i thank the gentleman   ,0
mr speaker  i rise in strong opposition to this supplemental appropriations bill and the antiimmigrant legislation it contains   if we truly believe all the rhetoric we hear about the importance of freedom and liberty from the president and others  we will vote down this bill  which denies so much freedom and liberty to immigrants in our own country   hr 1268 includes numerous provisions limiting the rights of refugees  imposing onerous new driver s license requirements on the states ,0
